Sentence ID | Total Words | Total Characters
----------------------------------------
1           | 6            | 50
2           | 50           | 269
3           | 6            | 53
4           | 23           | 107
5           | 1            | 3
6           | 270          | 1093
7           | 51           | 296
8           | 26           | 229
9           | 29           | 169
10          | 22           | 151
11          | 5            | 45
12          | 3            | 22
13          | 14           | 95
14          | 41           | 283
15          | 12           | 64
16          | 10           | 53
17          | 6            | 50
18          | 18           | 134
19          | 18           | 125
20          | 18           | 110
21          | 15           | 100
22          | 293          | 1047
23          | 52           | 199
24          | 100          | 414
25          | 13           | 102
26          | 139          | 509
27          | 20           | 131
28          | 3            | 26
29          | 10           | 72
30          | 10           | 69
31          | 8            | 52
32          | 11           | 70
33          | 15           | 131
34          | 5            | 31
35          | 4            | 21
36          | 10           | 79
37          | 5            | 22
38          | 6            | 65
39          | 11           | 63
40          | 1            | 3
41          | 16           | 106
42          | 7            | 49
43          | 12           | 79
44          | 9            | 50
45          | 4            | 35
46          | 10           | 67
47          | 10           | 69
48          | 13           | 75
49          | 13           | 98
50          | 12           | 77
51          | 11           | 76
52          | 18           | 148
53          | 17           | 130
54          | 9            | 58
55          | 6            | 46
56          | 24           | 187
57          | 245          | 938
58          | 48           | 259
59          | 3            | 25
60          | 12           | 85
61          | 8            | 56
62          | 7            | 52
63          | 9            | 61
64          | 11           | 71
65          | 8            | 40
66          | 11           | 70
67          | 12           | 85
68          | 14           | 98
69          | 1            | 3
70          | 5            | 29
71          | 4            | 29
72          | 13           | 106
73          | 9            | 55
74          | 26           | 185
75          | 249          | 971
76          | 55           | 319
77          | 11           | 85
78          | 17           | 127
79          | 11           | 64
80          | 2            | 32
81          | 11           | 68
82          | 8            | 48
83          | 24           | 148
84          | 19           | 129
85          | 9            | 65
86          | 3            | 21
87          | 6            | 28
88          | 1            | 3
89          | 7            | 39
90          | 17           | 131
91          | 11           | 66
92          | 14           | 101
93          | 8            | 50
94          | 12           | 95
95          | 10           | 61
96          | 12           | 79
97          | 8            | 58
98          | 10           | 60
99          | 3            | 19
100         | 9            | 57
101         | 11           | 73
102         | 9            | 64
103         | 5            | 52
104         | 8            | 57
105         | 12           | 70
106         | 11           | 71
107         | 8            | 60
108         | 13           | 100
109         | 5            | 33
110         | 7            | 55
111         | 9            | 73
112         | 14           | 100
113         | 12           | 83
114         | 11           | 76
115         | 11           | 78
116         | 249          | 971
117         | 50           | 242
118         | 9            | 54
119         | 13           | 84
120         | 8            | 52
121         | 15           | 93
122         | 10           | 60
123         | 14           | 81
124         | 3            | 24
125         | 14           | 116
126         | 10           | 56
127         | 15           | 100
128         | 10           | 67
129         | 9            | 46
130         | 11           | 62
131         | 16           | 94
132         | 10           | 63
133         | 19           | 134
134         | 10           | 71
135         | 6            | 45
136         | 15           | 125
137         | 9            | 54
138         | 10           | 99
139         | 10           | 69
140         | 11           | 73
141         | 12           | 87
142         | 18           | 140
143         | 9            | 66
144         | 12           | 68
145         | 9            | 62
146         | 9            | 55
147         | 5            | 51
148         | 9            | 56
149         | 8            | 55
150         | 12           | 75
151         | 22           | 148
152         | 13           | 91
153         | 249          | 971
154         | 48           | 261
155         | 12           | 80
156         | 14           | 85
157         | 3            | 25
158         | 12           | 95
159         | 10           | 52
160         | 3            | 25
161         | 8            | 48
162         | 13           | 95
163         | 17           | 136
164         | 11           | 69
165         | 8            | 47
166         | 5            | 20
167         | 1            | 3
168         | 6            | 44
169         | 12           | 79
170         | 11           | 61
171         | 23           | 152
172         | 11           | 66
173         | 13           | 93
174         | 12           | 84
175         | 4            | 16
176         | 7            | 43
177         | 10           | 70
178         | 1            | 3
179         | 14           | 94
180         | 11           | 75
181         | 15           | 98
182         | 13           | 97
183         | 9            | 43
184         | 11           | 68
185         | 14           | 93
186         | 12           | 73
187         | 10           | 60
188         | 9            | 57
189         | 8            | 54
190         | 10           | 74
191         | 14           | 106
192         | 16           | 115
193         | 9            | 64
194         | 9            | 48
195         | 11           | 84
196         | 248          | 962
197         | 251          | 910
198         | 98           | 357
199         | 8            | 62
200         | 54           | 223
201         | 185          | 674
202         | 10           | 57
203         | 10           | 62
204         | 9            | 47
205         | 4            | 33
206         | 8            | 43
207         | 9            | 55
208         | 9            | 41
209         | 11           | 63
210         | 11           | 67
211         | 12           | 76
212         | 9            | 61
213         | 12           | 68
214         | 9            | 59
215         | 26           | 148
216         | 12           | 94
217         | 13           | 86
218         | 10           | 55
219         | 11           | 70
220         | 13           | 70
221         | 10           | 69
222         | 20           | 139
223         | 15           | 116
224         | 15           | 115
225         | 11           | 72
226         | 6            | 40
227         | 244          | 939
228         | 307          | 1142
229         | 140          | 508
230         | 138          | 503
231         | 10           | 70
232         | 15           | 84
233         | 8            | 54
234         | 5            | 23
235         | 5            | 32
236         | 4            | 21
237         | 8            | 54
238         | 8            | 52
239         | 9            | 48
240         | 12           | 78
241         | 12           | 66
242         | 31           | 201
243         | 11           | 64
244         | 18           | 107
245         | 10           | 72
246         | 12           | 86
247         | 17           | 89
248         | 10           | 63
249         | 8            | 57
250         | 6            | 45
251         | 10           | 61
252         | 11           | 75
253         | 248          | 979
254         | 86           | 384
255         | 95           | 355
256         | 112          | 466
257         | 269          | 919
258         | 8            | 50
259         | 10           | 56
260         | 11           | 72
261         | 4            | 18
262         | 6            | 30
263         | 8            | 54
264         | 30           | 196
265         | 9            | 58
266         | 10           | 62
267         | 10           | 59
268         | 16           | 112
269         | 12           | 77
270         | 11           | 81
271         | 11           | 100
272         | 17           | 112
273         | 250          | 985
274         | 129          | 548
275         | 6            | 44
276         | 12           | 80
277         | 53           | 223
278         | 10           | 79
279         | 50           | 199
280         | 53           | 208
281         | 10           | 66
282         | 51           | 195
283         | 10           | 65
284         | 58           | 228
285         | 12           | 81
286         | 9            | 66
287         | 49           | 180
288         | 4            | 33
289         | 13           | 88
290         | 61           | 293
291         | 10           | 69
292         | 54           | 219
293         | 11           | 67
294         | 52           | 210
295         | 8            | 62
296         | 9            | 64
297         | 11           | 72
298         | 14           | 111
299         | 51           | 214
300         | 9            | 72
301         | 10           | 86
302         | 14           | 68
303         | 10           | 67
304         | 11           | 76
305         | 15           | 91
306         | 14           | 86
307         | 11           | 65
308         | 14           | 98
309         | 10           | 81
310         | 14           | 105
311         | 1            | 3
312         | 11           | 73
313         | 9            | 64
314         | 9            | 63
315         | 10           | 70
316         | 10           | 68
317         | 7            | 51
318         | 5            | 26
319         | 8            | 62
320         | 5            | 26
